City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,taourirt,34.4073,-2.8973,10.14,79,64,3.6,MA,1738535197
82,les sables-d'olonne,46.6667,-1.8333,3.32,81,0,2.16,FR,1738535432
83,port blair,11.6667,92.75,23.54,83,5,5.16,IN,1738535219
84,bizhbulyak,53.6967,54.2642,-5.36,90,100,4.98,RU,1738535434
85,dawei,14.0833,98.2,18.38,90,14,1.69,MM,1738535435
86,eatonton,33.3268,-83.3885,19.6,67,0,0.73,US,1738535437
87,atafu village,-8.5421,-172.5159,28.06,73,40,5.91,TK,1738535438
88,whitehorse,60.7161,-135.0538,-16.06,77,100,4.63,CA,1738535369
89,hawaiian paradise park,19.5933,-154.9731,26.04,71,100,5.66,US,1738535440
90,benghazi,32.1167,20.0667,16.86,53,100,6.01,LY,1738535441
91,belmonte,-15.8631,-38.8828,25.93,83,0,3.94,BR,1738535442
92,zaozersk,69.4005,32.4476,-13.66,98,91,1.13,RU,1738535443
93,tosontsengel,48.7567,98.2839,-28.88,99,100,0.46,MN,1738535445
94,muynoq,43.7683,59.0214,-0.44,80,92,3.25,UZ,1738535446
95,vallenar,-28.5708,-70.7581,25.82,44,3,3.16,CL,1738535227
96,panama city beach,30.1766,-85.8055,20.03,70,9,1.79,US,1738535448
97,sirte,31.2089,16.5887,17.11,39,100,1.3,LY,1738535449
98,st. john's,47.5649,-52.7093,-8.35,67,40,10.29,CA,1738535450
99,yeppoon,-23.1333,150.7333,25.98,79,100,7.13,AU,1738535451
100,waslala,13.2333,-85.3833,27.28,58,86,3.43,NI,1738535453
101,queenstown,-45.0302,168.6627,20.97,24,43,1.64,NZ,1738535454
102,den burg,53.0542,4.7972,0.99,93,28,3.09,NL,1738535414
103,santa ana,15.0955,120.767,25.83,85,61,1.65,PH,1738535343
104,maba,24.6841,113.5984,8.48,79,100,1.91,CN,1738535457
105,lihue,21.9789,-159.3672,25.41,61,0,5.66,US,1738535458
106,beira,-19.8436,34.8389,25.53,81,77,2.37,MZ,1738535459
107,ulsteinvik,62.3432,5.8487,5.73,83,100,4.02,NO,1738535460
108,fethiye,36.6217,29.1164,12.51,83,100,1.96,TR,1738535462
109,sandnessjoen,66.0217,12.6316,0.23,51,0,3.6,NO,1738535464
110,kodiak,57.79,-152.4072,1.73,75,40,5.66,US,1738535465
111,blackmans bay,-43.0167,147.3167,20.96,79,14,0.45,AU,1738535468
112,tsiombe,-25.3,45.4833,21.72,84,22,2.87,MG,1738535469
113,al bawiti,28.3492,28.8659,13.74,43,100,2.35,EG,1738535471
114,aasiaat,68.7098,-52.8699,-22.71,99,94,0.5,GL,1738535472
115,masterton,-40.9597,175.6575,23.01,43,85,1.9,NZ,1738535473
116,lompoc,34.6391,-120.4579,19.94,64,0,6.69,US,1738535474
117,utrik,11.2278,169.8474,26.51,72,33,10.5,MH,1738535475
118,tara,56.8944,74.371,-1.56,97,100,3.66,RU,1738535476
119,lebu,-37.6167,-73.65,17.31,78,7,3.53,CL,1738535478
120,alofi,-19.0595,-169.9187,29.94,79,20,4.63,NU,1738535479
121,ribeira grande,38.5167,-28.7,18.21,95,100,7.15,PT,1738535480
122,shantou,23.3681,116.7148,13.92,94,100,3.0,CN,1738535481
123,hithadhoo,-0.6,73.0833,27.55,75,44,2.89,MV,1738535484
124,aitape,-3.1374,142.3475,26.66,83,100,1.27,PG,1738535485
125,puente alto,-33.6167,-70.5833,28.8,32,0,4.63,CL,1738535383
126,praia da vitoria,38.7333,-27.0667,17.14,88,75,6.41,PT,1738535488
127,karema,-6.8205,30.4389,24.81,71,100,2.66,TZ,1738535489
128,kapuskasing,49.4169,-82.4331,-7.95,86,100,6.17,CA,1738535491
129,fontanelas,38.8472,-9.4372,11.76,72,99,12.57,PT,1738535492
130,tazovsky,67.4667,78.7,-30.27,94,6,3.56,RU,1738535493
131,vorgashor,67.5833,63.95,-27.18,85,1,3.42,RU,1738535495
132,murghob,38.1702,73.9667,-29.75,99,93,1.08,TJ,1738535496
133,amahai,-3.3333,128.9167,26.4,81,100,3.6,ID,1738535497
134,hadibu,12.65,54.0333,22.37,55,64,6.63,YE,1738535498
135,istgah-e rah ahan-e garmsar,35.2346,52.3094,6.32,40,4,2.52,IR,1738535499
136,salta,-24.7859,-65.4117,31.43,44,20,3.6,AR,1738535230
137,fortuna,40.5982,-124.1573,7.77,95,75,2.06,US,1738535503
138,selfoss,63.9331,-20.9971,3.36,83,100,7.24,IS,1738535504
139,saldanha,-33.0117,17.9442,18.98,83,0,6.7,ZA,1738535506
140,shimoda,34.6667,138.95,7.13,84,100,4.87,JP,1738535507
141,qaqortoq,60.7167,-46.0333,-19.16,91,12,1.23,GL,1738535509
142,mendoza,-32.8908,-68.8272,36.74,26,40,2.57,AR,1738535463
143,ormara,25.2088,64.6357,18.71,54,0,3.74,PK,1738535511
144,san julian,-49.3055,-67.7274,11.43,62,100,7.18,AR,1738535512
145,flin flon,54.7682,-101.865,-19.09,71,100,4.63,CA,1738535514
146,hermanus,-34.4187,19.2345,16.56,92,13,1.04,ZA,1738535515
147,singkawang,0.9,109.0,24.16,93,73,1.64,ID,1738535484
148,powell river,49.8496,-124.5361,2.8,87,75,1.03,CA,1738535517
149,ongjin,37.9347,125.3619,-5.03,52,3,10.99,KP,1738535518
150,'ali al gharbi,32.4633,46.6864,11.93,31,0,5.8,IQ,1738535520
151,axim,4.8699,-2.2405,25.18,90,6,0.38,GH,1738535521
152,vilyuchinsk,52.9306,158.4028,-11.85,83,3,4.39,RU,1738535522
153,kerikeri,-35.2268,173.9474,21.43,67,87,3.38,NZ,1738535523
154,gembu,6.7,11.2667,18.76,26,58,2.2,NG,1738535524
155,rouached,36.4577,6.0427,5.34,88,34,3.18,DZ,1738535526
156,aswan,24.0934,32.907,18.61,39,0,2.06,EG,1738535527
157,warmbad,-28.45,18.7333,23.76,30,2,4.96,NA,1738535528
158,guiyang,26.5833,106.7167,4.27,87,100,3.0,CN,1738535529
159,laboe,54.4,10.2167,-1.89,93,100,2.06,DE,1738535530
160,san angelo,31.4638,-100.437,28.63,12,0,7.2,US,1738535532
161,kismayo,-0.3582,42.5454,23.78,86,76,6.4,SO,1738535533
162,buala,-8.145,159.5921,29.22,75,82,6.2,SB,1738535534
163,neryungri,56.6709,124.6491,-30.89,93,100,4.38,RU,1738535536
164,hammerfest,70.6634,23.6821,-7.75,67,20,6.69,NO,1738535537
165,margaret river,-33.95,115.0667,16.88,70,44,4.97,AU,1738535538
166,ust-nera,64.5667,143.2,-43.12,100,55,2.15,RU,1738535539
167,huarmey,-10.0681,-78.1522,21.84,83,100,4.78,PE,1738535540
168,pisco,-13.7,-76.2167,25.03,73,0,7.72,PE,1738535541
169,west island,-12.1568,96.8225,27.99,83,20,7.72,CC,1738535545
170,kavaratti,10.5669,72.642,27.11,78,30,4.67,IN,1738535546
171,kajaani,64.2273,27.7285,-8.97,79,75,5.66,FI,1738535413
172,dinkelscherben,48.3483,10.5889,0.16,92,10,1.09,DE,1738535548
173,rio verde,-17.2167,-51.55,19.76,99,99,2.71,BR,1738535380
174,iskateley,67.6803,53.1512,-26.89,94,6,4.17,RU,1738535551
175,la ronge,55.1001,-105.2842,-19.86,71,100,6.69,CA,1738535552
176,uturoa,-16.7333,-151.4333,27.66,75,20,3.9,PF,1738535553
177,pishva,35.308,51.7267,5.16,42,0,1.57,IR,1738535555
178,havre,48.55,-109.6841,-16.85,66,100,4.12,US,1738535556
179,payakumbuh,-0.2202,100.6308,22.03,99,96,0.81,ID,1738535557
180,anse a galets,18.8317,-72.8642,27.53,68,2,2.78,HT,1738535558
181,holualoa,19.6228,-155.9522,24.91,75,40,4.63,US,1738535560
182,kokopo,-4.352,152.2633,28.93,69,99,0.43,PG,1738535561
